377,(21.332838,-157.842393)
378,(21.331399,-157.843567)
379,(21.329927,-157.844816)
380,(21.32764,-157.846305)
381,(21.326224,-157.847583)
382,(21.324799,-157.848647)
384,(21.321029,-157.851664)
385,(21.319601,-157.853042)
386,(21.318212,-157.854341)
387,(21.317198,-157.855296)
388,(21.315068,-157.857267)
390,(21.313331,-157.858873)
391,(21.312121,-157.860234)
392,(21.311591,-157.861213)
393,(21.310054,-157.862677)
397,(21.305805,-157.848625)
398,(21.306632,-157.84773)
399,(21.306479,-157.846278)
400,(21.306982,-157.844398)
401,(21.307413,-157.842521)
402,(21.307348,-157.841536)
403,(21.306422,-157.839787)
404,(21.305547,-157.838102)
405,(21.304485,-157.836067)
406,(21.303744,-157.834622)
407,(21.302988,-157.832837)
408,(21.302128,-157.831364)
409,(21.30133,-157.830154)
410,(21.300216,-157.828456)
411,(21.299316,-157.827006)
412,(21.299243,-157.823616)
413,(21.298674,-157.821231)
414,(21.296531,-157.821292)
415,(21.293108,-157.821408)
416,(21.291731,-157.822179)
418,(21.287473,-157.825334)
423,(21.289861,-157.832239)
424,(21.288784,-157.832669)
425,(21.292668,-157.844123)
426,(21.292165,-157.843003)
427,(21.290322,-157.840207)
428,(21.289919,-157.844622)
429,(21.291914,-157.847323)
431,(21.296442,-157.849964)
433,(21.298797,-157.85252)
435,(21.301587,-157.854572)
436,(21.303298,-157.855387)
437,(21.310404,-157.858507)
438,(21.312799,-157.860645)
439,(21.314069,-157.861813)
440,(21.316416,-157.863966)
441,(21.318441,-157.865818)
442,(21.319205,-157.868168)
444,(21.321734,-157.872468)
446,(21.323742,-157.875751)
447,(21.325548,-157.877894)
448,(21.326724,-157.879245)
449,(21.32824,-157.88103)
450,(21.329901,-157.883024)
451,(21.330803,-157.884325)
452,(21.332134,-157.886173)
453,(21.332714,-157.887576)
454,(21.389421,-157.994828)
455,(21.386542,-157.998303)
456,(21.385086,-158.00052)
459,(21.383122,-158.010155)
460,(21.38227,-158.01394)
461,(21.381665,-158.015807)
462,(21.380304,-158.018785)
463,(21.379556,-158.020252)
464,(21.378278,-158.022711)
465,(21.334816,-157.895855)
466,(21.33564,-157.902991)
467,(21.336084,-157.905828)
468,(21.336358,-157.907705)
469,(21.337255,-157.913922)
470,(21.337954,-157.918545)
471,(21.338594,-157.923017)
472,(21.339325,-157.927212)
